Prompt,Counts_Dovish,Counts_Neutral,Counts_Hawkish,Standard Deviation,Median,Average
openai_prompt_1,17,24,58,0.76944322581797,1.0,0.41414141414141414
openai_prompt_2,13,5,81,0.694680438152925,1.0,0.6868686868686869
openai_prompt_3,13,17,65,0.7259391723628671,1.0,0.5473684210526316
openai_prompt_4,21,9,69,0.8251609164480557,1.0,0.48484848484848486
openai_prompt_5,16,2,81,0.7445258203553723,1.0,0.6565656565656566
