Classifier,Standard Deviation,Median,Average,Counts_Dovish,Counts_Neutral,Counts_Hawkish
Joaquin,0.6589707309451797,1.0,0.49,9,33,58
Rui,0.6587407638361197,1.0,0.52,9,30,61
Ed,0.6666666666666663,0.5,0.4,10,40,50
