Meeting_Date,Interest_Rate
2024-03-07,4.75
2024-01-25,4.75
2023-12-14,4.75
2023-10-26,4.75
2023-09-14,4.5
2023-07-27,4.25
2023-06-15,4.0
2023-05-04,3.75
2023-03-16,3.25
2023-02-02,2.75
2022-12-15,2.25
2022-10-27,1.5
2022-09-08,0.75
2022-07-21,0.25
